place,number,rate,park,nightlife,children,nature,sports,historic,art_science,aquatic,shows,adventure
sioux-city-ia,120,3.7,16.49,0.0,16.31,19.58,6.0,34.65,13.09,1.0,29.52,5.39
skokie-il,7841,4.6,68.38,79.56,101.51,101.34,143.11,240.65,272.31,35.72,310.76,34.86
smyrna-ga,4184,4.48,89.77,52.62,96.62,147.43,84.99,203.76,149.58,23.03,221.24,43.53
somerville-ma,3789,4.32,52.68,50.07,67.84,91.52,65.28,228.55,194.74,24.17,81.24,48.41
south-gate-ca,8689,4.59,91.62,89.18,123.37,84.45,100.63,280.42,293.61,44.51,241.0,54.94
south-hill-wa,1830,4.56,70.42,8.25,38.62,106.43,52.9,106.36,85.89,11.04,0.0,13.06
south-jordan-ut,1060,4.17,54.75,1.0,46.75,84.04,71.37,96.57,95.9,14.17,28.14,16.91
south-san-francisco-ca,3238,4.39,50.38,65.1,127.41,98.98,51.31,267.14,255.69,30.1,123.61,77.47
southfield-mi,3918,4.44,77.25,62.28,85.87,92.7,145.05,214.3,225.8,12.99,211.47,41.07
sparks-nv,2779,4.07,7.17,29.02,16.34,67.62,34.98,55.7,43.33,13.56,15.18,6.17
spokane-valley-wa,251,4.09,25.44,2.0,27.79,29.49,25.92,23.08,13.87,9.99,11.1,6.75
spokane-wa,210,3.97,26.86,0.0,31.37,36.07,25.92,25.08,17.87,1.0,11.1,9.75
spring-hill-fl,1579,4.45,50.62,11.85,89.47,75.36,57.37,72.75,52.49,41.75,97.59,21.52
spring-tx,1514,4.32,71.35,12.49,83.63,72.55,24.27,146.95,197.37,10.5,75.38,37.3
spring-valley-nv,14551,4.2,13.89,135.59,77.07,66.52,35.89,141.1,167.16,15.51,43.63,95.44
springdale-ar,510,4.01,13.17,1.0,40.55,94.38,45.04,83.93,69.69,5.49,51.29,24.12
springfield-il,258,3.74,37.69,1.0,33.21,40.76,17.78,153.32,24.56,3.58,0.0,3.0
springfield-mo,437,3.96,18.47,0.0,66.62,77.2,23.51,53.75,32.29,6.17,50.9,18.17
springfield-or,231,3.71,4.0,7.78,17.09,35.19,16.51,21.75,19.17,11.17,32.28,7.04
